Date,cases,deaths,recovered
1/22/20,555,17,28
1/23/20,654,18,30
1/24/20,941,26,36
1/25/20,1434,42,39
1/26/20,2118,56,52
1/27/20,2927,82,61
1/28/20,5578,131,107
1/29/20,6166,133,126
1/30/20,8234,171,143
1/31/20,9927,213,222
02-01-2020,12038,259,284
02-02-2020,16787,362,472
02-03-2020,19887,426,623
02-04-2020,23898,492,852
02-05-2020,27642,564,1124
02-06-2020,30801,634,1487
02-07-2020,34397,719,2011
02-08-2020,37130,806,2616
02-09-2020,40161,906,3244
02-10-2020,42768,1013,3946
02-11-2020,44809,1113,4683
02-12-2020,45228,1118,5149
2/13/20,60376,1371,6294
2/14/20,66894,1523,8057
2/15/20,69039,1666,9394
2/16/20,71233,1770,10864
2/17/20,73268,1868,12582
2/18/20,75146,2007,14351
2/19/20,75650,2122,16120
2/20/20,76210,2247,18176
2/21/20,76833,2251,18887
2/22/20,78586,2458,22883
2/23/20,78977,2469,23391
2/24/20,79542,2629,25224
2/25/20,80393,2708,27902
2/26/20,81370,2770,30381
2/27/20,82733,2814,33271
2/28/20,84106,2872,36705
2/29/20,86005,2941,39776
03-01-2020,88383,2996,42710
03-02-2020,90356,3085,45596
03-03-2020,92933,3160,48222
03-04-2020,95235,3254,51164
03-05-2020,98023,3347,53790
03-06-2020,101971,3459,55859
03-07-2020,106004,3558,58351
03-08-2020,109963,3801,60686
03-09-2020,113844,3987,62485
03-10-2020,118880,4263,64396
03-11-2020,126546,4611,66994
03-12-2020,132240,4913,68315
3/13/20,146672,5411,70242
3/14/20,157773,5830,72613
3/15/20,168954,6469,76023
3/16/20,183593,7148,78076
3/17/20,199419,7954,80828
3/18/20,218989,8849,83311
3/19/20,246905,9954,84948
3/20/20,276475,11435,87393
3/21/20,308790,13141,91656
3/22/20,342252,14841,97871
3/23/20,384404,16758,98336
3/24/20,425535,19028,107875
3/25/20,476369,21803,113585
3/26/20,539307,24810,121949
3/27/20,603674,28324,130646
3/28/20,671309,32003,138930
3/29/20,730880,35471,148397
3/30/20,795425,39633,163834
3/31/20,871674,44477,176194
04-01-2020,947840,50027,191552
04-02-2020,1029275,56334,208182
04-03-2020,1112215,62314,223189
04-04-2020,1192742,68163,243200
04-05-2020,1264109,73178,256604
04-06-2020,1337062,79015,272993
04-07-2020,1413812,86922,295846
04-08-2020,1497403,93651,324199
04-09-2020,1583844,101266,348527
04-10-2020,1671729,108531,369653
04-11-2020,1748223,114586,395166
04-12-2020,1845226,120317,414035
4/13/20,1915142,126070,440566
4/14/20,1984840,132972,465207
4/15/20,2065566,141271,501118
4/16/20,2162241,148568,531214
4/17/20,2250566,157457,556487
4/18/20,2323831,163928,579991
4/19/20,2404673,168506,610762
4/20/20,2477668,173929,632068
4/21/20,2552783,181080,666250
4/22/20,2629660,187837,695413
4/23/20,2719097,194706,723897
4/24/20,2806113,201387,773542
4/25/20,2890304,206961,800457
4/26/20,2963242,210840,828190
4/27/20,3032503,215478,854608
4/28/20,3107085,221931,886911
4/29/20,3183962,228695,927983
4/30/20,3267740,234652,991857
05-01-2020,3354731,239824,1028748
05-02-2020,3435281,245142,1068615
05-03-2020,3513023,248584,1099831
05-04-2020,3589133,252739,1132786
05-05-2020,3669172,258618,1168415
05-06-2020,3759093,265272,1213155
05-07-2020,3848305,270689,1251576
05-08-2020,3939833,276252,1287119
05-09-2020,4023441,280515,1339645
05-10-2020,4099732,284085,1372392
05-11-2020,4176006,287547,1418488
05-12-2020,4259403,293090,1454475
5/13/20,4344421,298321,1509195
5/14/20,4441499,303592,1548003
5/15/20,4537879,308805,1595188
5/16/20,4629672,312958,1650855
5/17/20,4708205,316297,1691010
5/18/20,4796476,319584,1743220
5/19/20,4892934,324375,1794567
5/20/20,4995742,329236,1852756
5/21/20,5102278,334028,1903083
5/22/20,5209244,339314,2010857
5/23/20,5308225,343305,2065118
5/24/20,5403524,346127,2119878
5/25/20,5490497,347309,2182948
5/26/20,5583031,351520,2237461
5/27/20,5685633,356707,2299958
5/28/20,5803599,361392,2366102
5/29/20,5924709,366076,2442485
5/30/20,6053134,370211,2512345
5/31/20,6160243,373078,2587957
06-01-2020,6256493,376608,2641974
06-02-2020,6369046,381307,2745463
06-03-2020,6496381,387013,2823824
06-04-2020,6623083,392161,2893175
06-05-2020,6755724,396983,2961441
06-06-2020,6881530,400801,3032630
06-07-2020,6993970,403550,3087135
06-08-2020,7097409,407306,3238065
06-09-2020,7220392,412161,3319551
06-10-2020,7354172,417366,3397592
06-11-2020,7492360,422150,3482565
06-12-2020,7621346,426445,3561378
6/13/20,7755445,430695,3646502
6/14/20,7888575,434041,3716463
6/15/20,8010360,437545,3795872
6/16/20,8149939,444334,3893270
6/17/20,8325831,449605,4010675
6/18/20,8464706,454614,4091317
